GeomID,Local knowledge event,Remote event,Early import,Geometry import,Late import,Tag import
122,6.11,0.0,5.48,9.09,50.07,1.93
123,23.92,11.15,23.24,3.84,1.57,0.0
124,18.95,0.0,0.0,0.0,5.38,0.0
125,32.17,0.0,0.0,0.0,9.36,0.0
126,15.99,0.0,0.0,0.0,7.05,0.0
127,28.76,0.0,0.0,0.0,0.0,0.0
128,19.89,0.0,4.52,0.0,4.06,0.0
129,3.76,0.0,0.0,2.96,12.15,0.0
130,3.69,0.0,0.0,0.0,8.25,0.0
131,14.32,0.0,0.0,0.0,0.0,0.0
132,7.5,0.0,4.61,5.33,4.1,0.0
133,7.79,10.04,0.0,0.0,0.0,0.0
134,10.54,0.0,6.92,0.0,14.05,3.54
135,14.45,0.0,0.0,0.0,0.0,0.0
136,7.03,5.08,0.0,9.42,15.45,0.0
137,7.11,0.0,0.0,7.63,2.58,0.0
138,4.16,19.6,10.42,3.06,27.06,0.0
139,0.0,11.51,17.58,0.0,0.0,0.0
140,4.42,0.0,15.17,12.86,31.0,1.73
141,0.0,0.0,0.0,2.86,5.57,15.77
142,7.2,0.0,6.62,0.0,9.8,0.0
143,17.18,10.61,0.0,0.0,16.38,0.0
144,2.42,0.0,2.47,0.0,62.07,0.0
145,0.0,0.0,0.0,13.87,10.65,0.0
146,15.74,5.83,0.0,0.0,6.92,0.0
147,7.37,0.0,0.0,7.07,5.54,0.0
148,27.93,0.0,0.0,0.0,10.03,0.0
149,0.0,0.0,0.0,3.98,18.81,0.0
150,4.03,0.0,0.0,3.68,23.61,0.0
151,0.0,0.0,0.0,0.0,25.37,0.0
152,0.0,4.01,0.0,3.66,7.44,0.0
153,6.7,0.0,0.0,11.53,8.38,0.0
154,3.75,7.68,7.39,0.0,3.44,0.0
155,2.78,0.0,6.56,8.94,17.98,0.0
156,0.0,0.0,0.0,0.0,38.92,8.0
157,12.78,8.9,26.83,0.0,0.0,0.0
158,7.67,0.0,46.07,0.0,0.0,0.0
159,6.7,0.0,10.87,0.0,11.41,0.0
160,0.0,0.0,10.08,0.0,41.43,0.0
161,0.0,0.0,9.3,0.0,0.0,19.19
162,5.82,0.0,19.23,0.0,30.48,5.95
163,0.0,0.0,18.89,0.0,0.0,0.0
164,0.0,0.0,42.37,0.0,0.0,0.0
165,4.64,0.0,10.13,0.0,9.95,4.12
166,5.76,0.0,0.0,2.69,9.15,0.0
167,6.61,4.28,0.0,0.0,13.49,0.0
168,0.0,0.0,10.25,0.0,40.07,0.0
169,0.0,0.0,0.0,18.12,8.49,8.88
170,0.0,0.0,59.16,0.0,0.0,0.0
171,3.93,0.0,18.67,4.18,20.46,0.0
172,0.0,10.45,35.13,0.0,6.96,0.0
173,13.22,35.02,0.0,4.26,0.0,0.0
174,3.84,0.0,44.84,6.69,6.99,0.0
175,0.0,16.8,49.31,0.0,8.73,0.0
176,4.27,12.42,22.94,4.31,11.41,0.0
177,2.88,22.75,41.72,0.0,0.0,0.0
178,7.81,22.98,37.25,0.0,3.62,0.0
179,31.7,13.17,2.99,4.56,18.96,0.0
180,0.0,25.89,31.81,4.41,9.32,0.0
181,0.0,0.0,64.78,0.0,0.0,0.0
182,6.4,26.17,37.01,2.11,11.37,0.0
183,5.38,30.78,32.59,0.0,8.06,0.0
184,12.46,15.23,37.82,0.0,0.0,0.0
185,6.34,23.1,38.12,3.81,3.36,0.0
186,7.87,2.87,0.0,2.48,4.39,0.0
187,0.0,39.21,14.63,0.0,0.0,0.0
188,0.0,36.76,29.33,0.0,0.0,0.0
189,9.99,10.38,60.86,0.0,0.0,0.0
190,0.0,0.0,17.45,0.0,21.48,0.0
191,10.91,12.46,33.06,2.07,16.38,2.55
192,12.79,0.0,25.71,0.0,5.71,0.0
193,0.0,0.0,34.43,0.0,0.0,0.0
194,0.0,0.0,38.93,0.0,18.27,0.0
195,0.0,0.0,41.61,0.0,20.07,0.0
196,0.0,0.0,48.05,0.0,0.0,0.0
197,0.0,0.0,74.46,0.0,0.0,0.0
198,5.6,10.73,40.94,0.0,0.0,0.0
199,0.0,0.0,15.23,0.0,0.0,3.87
200,0.0,17.33,23.97,9.8,5.79,0.0
201,0.0,0.0,14.27,0.0,13.89,0.0
202,0.0,0.0,23.14,6.6,6.2,0.0
203,0.0,21.87,39.61,0.0,0.0,0.0
204,4.61,15.52,27.63,0.0,18.25,0.0
205,15.59,0.0,24.88,9.92,13.83,0.0
206,5.9,0.0,18.57,17.99,11.12,0.0
207,0.0,24.67,42.93,0.0,4.14,0.0
208,0.0,64.83,18.79,0.0,0.0,0.0
209,5.78,44.07,22.5,0.0,0.0,0.0
210,0.0,0.0,80.26,0.0,0.0,5.87
211,0.0,0.0,78.17,0.0,0.0,6.36
212,0.0,0.0,77.29,0.0,0.0,6.3
213,0.0,39.33,24.76,0.0,0.0,0.0
214,0.0,0.0,80.97,0.0,0.0,0.0
215,0.0,0.0,68.93,0.0,0.0,0.0
216,0.0,35.13,36.96,0.0,0.0,0.0
217,4.97,14.36,52.15,4.99,0.0,0.0
218,10.9,26.95,22.07,0.0,3.05,0.0
219,0.0,19.08,34.4,0.0,7.49,13.48
220,0.0,0.0,60.04,0.0,0.0,11.09
221,11.5,9.92,40.68,14.27,10.74,0.0
222,0.0,0.0,70.67,0.0,0.0,6.89
223,11.14,8.65,47.92,3.57,0.0,0.0
224,0.0,0.0,74.57,0.0,0.0,6.14
225,0.0,26.51,31.18,0.0,0.0,0.0
226,0.0,34.7,41.78,0.0,0.0,5.35
227,0.0,15.23,41.97,8.11,0.0,0.0
228,0.0,0.0,0.0,12.49,4.1,0.0
229,5.57,6.96,7.1,0.0,5.96,0.0
230,9.62,0.0,27.4,4.67,5.12,0.0
231,0.0,0.0,8.82,7.83,3.73,0.0
232,5.3,12.24,2.4,0.0,19.51,0.0
233,0.0,0.0,51.76,0.0,9.26,11.33
234,32.86,8.82,0.0,4.89,13.47,0.0
235,0.0,0.0,13.38,0.0,25.8,0.0
236,19.73,8.62,10.58,2.32,2.66,0.0
237,0.0,9.59,7.27,0.0,13.93,0.0
238,5.15,4.24,0.0,0.0,31.0,0.0
239,0.0,34.57,3.29,10.85,0.0,0.0
240,0.0,0.0,14.41,0.0,20.41,0.0
241,0.0,0.0,5.37,6.49,5.69,0.0
242,3.92,10.75,0.0,0.0,5.87,0.0
243,0.0,30.71,0.0,12.5,8.65,0.0
244,4.36,0.0,7.12,2.18,17.35,0.0
245,0.0,5.0,10.33,0.0,19.91,0.0
246,3.83,53.98,0.0,0.0,0.0,0.0
247,12.02,0.0,2.89,8.46,0.0,0.0
248,0.0,7.74,4.11,4.96,4.05,0.0
249,0.0,0.0,4.02,0.0,13.03,0.0
250,0.0,3.03,0.0,0.0,17.07,0.0
251,3.64,0.0,4.45,4.31,4.89,0.0
